epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6817,0.77801,0.76045,1.18074,0.69933,0.84816,0.84384,0.75336,0.43545,0.58015,0.95299,0.000328125,0.000328125,0.000328125
2,151.385,0.7689,0.72232,1.1803,0.65097,0.86675,0.86412,0.79125,0.39,0.56817,0.92175,0.000652727,0.000652727,0.000652727
3,230.32,0.8011,0.74589,1.19781,0.71637,0.85513,0.86282,0.73599,0.63825,0.62437,1.0523,0.000968529,0.000968529,0.000968529
4,308.464,0.80715,0.73558,1.20249,0.70205,0.84066,0.84849,0.75877,0.44883,0.58343,0.9431,0.0009604,0.0009604,0.0009604
5,385.907,0.75849,0.71471,1.1751,0.73532,0.92556,0.84606,0.75948,0.43355,0.55874,0.93974,0.0009472,0.0009472,0.0009472
6,470.717,0.74719,0.69932,1.15803,0.72812,0.85687,0.85007,0.78118,0.41132,0.56833,0.92666,0.000934,0.000934,0.000934
7,556.346,0.7594,0.70797,1.17545,0.6739,0.97304,0.85316,0.75813,0.5202,0.59024,0.96117,0.0009208,0.0009208,0.0009208
8,646.513,0.74128,0.70133,1.15298,0.67398,0.93186,0.86789,0.78022,0.48599,0.60893,0.93737,0.0009076,0.0009076,0.0009076
9,765.114,0.74859,0.70188,1.15905,0.72666,0.85659,0.86068,0.77352,0.4279,0.52903,0.9447,0.0008944,0.0008944,0.0008944
10,1076.8,0.72174,0.67528,1.13857,0.88375,0.76842,0.85914,0.75824,0.5415,0.58098,0.97203,0.0008812,0.0008812,0.0008812
11,1170.51,0.72432,0.68093,1.15144,0.71602,0.84067,0.83612,0.74959,0.43506,0.54672,0.92851,0.000868,0.000868,0.000868
12,1260.37,0.70141,0.66065,1.12606,0.64946,0.8901,0.83762,0.76575,0.38703,0.51645,0.89782,0.0008548,0.0008548,0.0008548
13,1340.95,0.70021,0.66633,1.12801,0.70028,0.84321,0.84789,0.77096,0.42824,0.51551,0.91021,0.0008416,0.0008416,0.0008416
14,1428.29,0.71367,0.67177,1.13285,0.71137,0.86448,0.86467,0.77324,0.46816,0.57538,0.93207,0.0008284,0.0008284,0.0008284
15,1514.13,0.70048,0.64551,1.121,0.71343,0.94935,0.86126,0.7928,0.41473,0.49242,0.90681,0.0008152,0.0008152,0.0008152
16,1612.65,0.68382,0.637,1.11408,0.6959,0.93532,0.87036,0.81895,0.34018,0.5153,0.8744,0.000802,0.000802,0.000802
17,1721.23,0.65001,0.6264,1.08725,0.65859,0.93939,0.85657,0.78958,0.43802,0.51578,0.90717,0.0007888,0.0007888,0.0007888
18,1834.99,0.68606,0.62545,1.11844,0.74397,0.77884,0.78091,0.7349,0.4096,0.48964,0.90536,0.0007756,0.0007756,0.0007756
19,1935.82,0.64327,0.62294,1.08926,0.70299,0.92449,0.86504,0.8116,0.3728,0.49251,0.89034,0.0007624,0.0007624,0.0007624
20,2048.07,0.64016,0.60342,1.08322,0.75993,0.88861,0.87292,0.81757,0.34786,0.4797,0.88274,0.0007492,0.0007492,0.0007492
21,2151.55,0.67599,0.60914,1.1045,0.70534,0.97195,0.88444,0.82131,0.39769,0.50064,0.88611,0.000736,0.000736,0.000736
22,2251.87,0.63602,0.6027,1.08487,0.73662,0.9393,0.90229,0.83785,0.40017,0.4872,0.90102,0.0007228,0.0007228,0.0007228
23,2361.97,0.63892,0.59386,1.0725,0.72266,0.95395,0.89414,0.83569,0.34645,0.4543,0.87718,0.0007096,0.0007096,0.0007096
24,2473,0.62826,0.58585,1.07545,0.74108,0.95556,0.88467,0.8234,0.37189,0.47045,0.88372,0.0006964,0.0006964,0.0006964
25,2569.17,0.61335,0.57644,1.06666,0.7314,0.97563,0.89606,0.83493,0.35149,0.4712,0.88068,0.0006832,0.0006832,0.0006832
26,2682.95,0.6287,0.58459,1.07389,0.71819,0.97964,0.88554,0.82555,0.35893,0.47433,0.878,0.00067,0.00067,0.00067
27,2789.95,0.61198,0.56567,1.06781,0.69983,0.98485,0.90083,0.84677,0.31985,0.42439,0.85647,0.0006568,0.0006568,0.0006568
28,2901.91,0.5851,0.55791,1.0474,0.68173,0.98435,0.89255,0.86099,0.32717,0.43394,0.86542,0.0006436,0.0006436,0.0006436
29,3019.48,0.60507,0.56961,1.05243,0.72914,0.95143,0.88086,0.84542,0.30126,0.47215,0.84949,0.0006304,0.0006304,0.0006304
30,3145.84,0.61318,0.58008,1.06579,0.68167,0.98182,0.88551,0.83719,0.30691,0.44645,0.85587,0.0006172,0.0006172,0.0006172
31,3270.3,0.60369,0.56973,1.06019,0.76538,0.94837,0.88002,0.84033,0.28276,0.45272,0.84686,0.000604,0.000604,0.000604
32,3391.59,0.58338,0.56061,1.04961,0.74793,0.98182,0.88339,0.83744,0.32094,0.46513,0.85317,0.0005908,0.0005908,0.0005908
33,3531.12,0.58441,0.5545,1.04781,0.7357,0.93871,0.88215,0.84622,0.31053,0.41797,0.86004,0.0005776,0.0005776,0.0005776
34,3679.5,0.58126,0.54764,1.04071,0.75532,0.95447,0.88801,0.84122,0.31318,0.43582,0.85435,0.0005644,0.0005644,0.0005644
35,3830.41,0.57814,0.55269,1.03865,0.74174,0.98228,0.88534,0.83726,0.32597,0.42714,0.86082,0.0005512,0.0005512,0.0005512
36,3999.41,0.57431,0.54159,1.03436,0.7462,0.93729,0.87382,0.82838,0.35679,0.4317,0.86173,0.000538,0.000538,0.000538
37,4155.16,0.5715,0.54138,1.04124,0.75651,0.98485,0.89213,0.85175,0.3138,0.42659,0.85355,0.0005248,0.0005248,0.0005248
38,4291.97,0.55401,0.53194,1.0295,0.71623,0.98182,0.88567,0.84009,0.33183,0.4388,0.86168,0.0005116,0.0005116,0.0005116
39,4426.21,0.56616,0.54541,1.04363,0.74487,0.93636,0.89156,0.83593,0.38621,0.43047,0.87594,0.0004984,0.0004984,0.0004984
40,4593.68,0.55684,0.53311,1.03089,0.7262,0.98485,0.88189,0.84581,0.30927,0.4383,0.8488,0.0004852,0.0004852,0.0004852
41,4737.82,0.55195,0.531,1.02862,0.75284,0.98182,0.8849,0.83208,0.28971,0.41592,0.84359,0.000472,0.000472,0.000472
42,4891.36,0.54732,0.53347,1.01913,0.74233,0.98485,0.88461,0.84513,0.26041,0.40896,0.83753,0.0004588,0.0004588,0.0004588
43,5070.26,0.53624,0.5197,1.01954,0.73812,0.98417,0.89527,0.84948,0.30262,0.42481,0.84787,0.0004456,0.0004456,0.0004456
44,5227.14,0.55297,0.53184,1.02486,0.69449,0.98388,0.88618,0.84589,0.28312,0.40467,0.84813,0.0004324,0.0004324,0.0004324
45,5407.8,0.53382,0.51646,1.01978,0.73914,0.98485,0.88716,0.86045,0.25672,0.37731,0.83192,0.0004192,0.0004192,0.0004192
46,5577.25,0.52499,0.51667,1.01482,0.77183,0.92449,0.8984,0.84985,0.29916,0.42607,0.85104,0.000406,0.000406,0.000406
47,5727.49,0.5385,0.51985,1.01142,0.75411,0.96866,0.88778,0.85993,0.24768,0.38914,0.83664,0.0003928,0.0003928,0.0003928
48,5863.4,0.52706,0.51,1.01068,0.74428,0.98432,0.88154,0.85488,0.24857,0.39823,0.83273,0.0003796,0.0003796,0.0003796
49,6012.31,0.52238,0.49624,1.00745,0.74056,0.98182,0.88775,0.84364,0.28064,0.39752,0.8383,0.0003664,0.0003664,0.0003664
50,6144.39,0.51324,0.50093,1.00577,0.75467,0.98182,0.8879,0.85862,0.24533,0.38657,0.8338,0.0003532,0.0003532,0.0003532
51,6312.5,0.50211,0.49732,0.99969,0.77001,0.93761,0.89288,0.86901,0.24822,0.38188,0.83218,0.00034,0.00034,0.00034
52,6492.22,0.50758,0.50893,1.00077,0.74149,0.93942,0.88825,0.85198,0.27034,0.38992,0.83886,0.0003268,0.0003268,0.0003268
53,6623.62,0.50062,0.48746,0.99804,0.73669,0.98433,0.89134,0.86348,0.24424,0.36634,0.83487,0.0003136,0.0003136,0.0003136
54,6748.01,0.49435,0.4899,0.98726,0.77591,0.92119,0.89087,0.86449,0.27555,0.37924,0.84677,0.0003004,0.0003004,0.0003004
55,6878.52,0.50083,0.49158,0.9974,0.70062,0.93636,0.89665,0.87281,0.24119,0.37862,0.83163,0.0002872,0.0002872,0.0002872
56,7073.77,0.50808,0.49207,0.99429,0.76307,0.96607,0.89094,0.8515,0.32461,0.40833,0.84752,0.000274,0.000274,0.000274
57,7243.76,0.48872,0.48314,0.99491,0.75088,0.98328,0.89727,0.87315,0.2502,0.38695,0.83495,0.0002608,0.0002608,0.0002608
58,7408.36,0.48959,0.48711,0.98847,0.7576,0.98182,0.89501,0.86559,0.26086,0.37108,0.83462,0.0002476,0.0002476,0.0002476
59,7590.57,0.48365,0.48026,0.98607,0.76503,0.97982,0.90478,0.87763,0.26943,0.38715,0.84419,0.0002344,0.0002344,0.0002344
60,7815.15,0.49963,0.49138,0.99606,0.7607,0.97649,0.88385,0.84616,0.25343,0.38396,0.83656,0.0002212,0.0002212,0.0002212
61,7996.18,0.48012,0.47275,0.98952,0.73688,0.97754,0.8811,0.85521,0.25038,0.37576,0.83036,0.000208,0.000208,0.000208
62,8186.55,0.47076,0.466,0.98278,0.74627,0.97754,0.88582,0.85849,0.23676,0.36913,0.83421,0.0001948,0.0001948,0.0001948
63,8408.12,0.48442,0.48475,0.99251,0.7564,0.97754,0.89254,0.86147,0.24788,0.37704,0.8286,0.0001816,0.0001816,0.0001816
64,8602.81,0.47484,0.47983,0.98658,0.76256,0.97754,0.88967,0.85412,0.26577,0.38331,0.83303,0.0001684,0.0001684,0.0001684
65,8767.5,0.47924,0.46455,0.9861,0.77233,0.9683,0.8989,0.86527,0.27897,0.38288,0.83523,0.0001552,0.0001552,0.0001552
66,9074.68,0.42223,0.44344,0.94125,0.74292,0.92735,0.91528,0.88021,0.24798,0.38435,0.82434,0.000142,0.000142,0.000142
67,9320.67,0.37957,0.41469,0.92351,0.75253,0.98182,0.90382,0.87772,0.2501,0.39685,0.82042,0.0001288,0.0001288,0.0001288
68,9564.01,0.36766,0.40303,0.91385,0.76297,0.98182,0.88393,0.85347,0.2567,0.39773,0.82616,0.0001156,0.0001156,0.0001156
69,9811.41,0.356,0.39596,0.91172,0.76004,0.97062,0.90145,0.87585,0.22467,0.37847,0.82368,0.0001024,0.0001024,0.0001024
70,10067.1,0.357,0.3961,0.90706,0.74833,0.97731,0.89094,0.86611,0.22569,0.37065,0.82562,8.92e-05,8.92e-05,8.92e-05
71,10313,0.34976,0.38801,0.9103,0.75765,0.97731,0.90075,0.86925,0.2275,0.36515,0.82221,7.6e-05,7.6e-05,7.6e-05
72,10555.3,0.34241,0.38477,0.89953,0.75697,0.97731,0.89471,0.86356,0.23145,0.37677,0.8254,6.28e-05,6.28e-05,6.28e-05
73,10799.3,0.34501,0.38618,0.90322,0.74996,0.97731,0.8936,0.87121,0.21748,0.36072,0.821,4.96e-05,4.96e-05,4.96e-05
74,11097.8,0.34075,0.38078,0.90289,0.75422,0.97731,0.88782,0.86494,0.22168,0.36361,0.82283,3.64e-05,3.64e-05,3.64e-05
75,12002.6,0.33882,0.38431,0.90401,0.75338,0.97731,0.88623,0.86243,0.2173,0.36777,0.82262,2.32e-05,2.32e-05,2.32e-05
