epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9639,3.60779,4.71687,4.25996,0,0,0,0,3.08298,4.74348,4.16019,0.00011,0.00011,0.00011
2,50.5289,3.49493,4.63833,4.14169,0,0,0,0,3.08995,4.74226,4.16572,0.000225446,0.000225446,0.000225446
3,62.5742,3.38217,4.50853,4.00561,0,0,0,0,3.10119,4.74332,4.18127,0.00033614,0.00033614,0.00033614
4,74.9652,3.27984,4.31542,3.79492,0,0,0,0,3.13924,4.75223,4.2199,0.000442082,0.000442082,0.000442082
5,89.4552,2.95974,4.09047,3.6362,0,0,0,0,3.19025,4.77284,4.27215,0.000543272,0.000543272,0.000543272
6,103.363,2.83292,3.82013,3.47782,0,0,0,0,3.19381,4.78922,4.29834,0.00063971,0.00063971,0.00063971
7,117.977,2.67623,3.48504,3.26598,0,0,0,0,3.22132,4.80951,4.39052,0.000731396,0.000731396,0.000731396
8,132.882,2.56289,3.13963,3.04726,0,0,0,0,3.24646,4.8004,4.374,0.00081833,0.00081833,0.00081833
9,150.664,2.46644,2.88388,2.93681,0,0,0,0,3.13836,4.74522,4.14312,0.0008416,0.0008416,0.0008416
10,176.428,2.36266,2.6309,2.78346,0.00504,0.24018,0.15519,0.06348,2.76451,3.93114,3.13348,0.0008218,0.0008218,0.0008218
11,200.014,2.24754,2.43098,2.63292,1,0.05819,0.14286,0.07182,2.7243,3.40109,2.98975,0.000802,0.000802,0.000802
12,222.331,2.10589,2.22389,2.49689,0.55454,0.13792,0.16752,0.08343,2.39605,2.85706,2.77105,0.0007822,0.0007822,0.0007822
13,247.216,1.92726,2.10228,2.39632,0.75803,0.21139,0.29441,0.11636,2.39682,2.36485,2.73509,0.0007624,0.0007624,0.0007624
14,271.255,1.87484,1.9598,2.29344,0.66545,0.26006,0.3211,0.18048,1.89361,2.03923,2.50179,0.0007426,0.0007426,0.0007426
15,298.949,1.74981,1.88118,2.20121,0.52582,0.26527,0.33492,0.17141,2.05872,2.22404,2.58256,0.0007228,0.0007228,0.0007228
16,323.046,1.61024,1.73751,2.09119,0.55254,0.39032,0.42266,0.25763,1.47847,1.97077,2.30439,0.000703,0.000703,0.000703
17,351.792,1.54189,1.62178,2.0306,0.58176,0.35617,0.40907,0.25388,1.54988,1.88138,2.27748,0.0006832,0.0006832,0.0006832
18,384.114,1.42028,1.52711,1.93138,0.57657,0.33474,0.29904,0.19946,1.25733,1.83773,2.05755,0.0006634,0.0006634,0.0006634
19,418.428,1.30759,1.43125,1.84239,0.5968,0.42444,0.3472,0.26206,1.05905,1.39474,1.75923,0.0006436,0.0006436,0.0006436
20,453.081,1.26925,1.40356,1.78593,0.59989,0.45377,0.36912,0.26481,1.11627,1.38064,1.71398,0.0006238,0.0006238,0.0006238
21,489.579,1.2092,1.32974,1.73537,0.6531,0.35931,0.303,0.22805,0.92649,1.42946,1.62697,0.000604,0.000604,0.000604
22,520.172,1.18174,1.28653,1.66258,0.56396,0.38996,0.34053,0.25648,0.93593,1.26931,1.55304,0.0005842,0.0005842,0.0005842
23,557.559,1.17323,1.3292,1.66868,0.64032,0.37745,0.36702,0.2879,0.91058,1.38344,1.5575,0.0005644,0.0005644,0.0005644
24,591.512,1.09384,1.23101,1.60923,0.71223,0.38486,0.34923,0.2926,0.9132,1.29668,1.53168,0.0005446,0.0005446,0.0005446
25,623.823,1.08705,1.22045,1.57179,0.60917,0.43754,0.37417,0.30018,0.88124,1.20487,1.50143,0.0005248,0.0005248,0.0005248
26,659.359,1.03857,1.17693,1.5192,0.66588,0.41655,0.3875,0.31442,0.8303,1.0345,1.42576,0.000505,0.000505,0.000505
27,700.542,0.98019,1.14476,1.50202,0.67271,0.69947,0.62744,0.52869,0.74941,1.01771,1.38304,0.0004852,0.0004852,0.0004852
28,736.851,0.96795,1.11358,1.46491,0.6879,0.68891,0.63843,0.52303,0.77883,1.04681,1.3771,0.0004654,0.0004654,0.0004654
29,780.253,0.9462,1.08662,1.42695,0.67144,0.66729,0.60842,0.50968,0.71381,0.98794,1.33675,0.0004456,0.0004456,0.0004456
30,824.523,0.93129,1.10087,1.45171,0.70615,0.68989,0.65052,0.55498,0.68057,0.99133,1.30919,0.0004258,0.0004258,0.0004258
31,864.798,0.91907,1.05744,1.42059,0.70014,0.37568,0.36116,0.30094,0.70682,1.04008,1.33085,0.000406,0.000406,0.000406
32,903.265,0.91928,1.09415,1.4376,0.70858,0.85487,0.81047,0.68845,0.6612,0.9985,1.29674,0.0003862,0.0003862,0.0003862
33,938.624,0.85116,1.04978,1.37553,0.7061,0.8614,0.80857,0.67698,0.68205,0.91645,1.30192,0.0003664,0.0003664,0.0003664
34,975.485,0.85807,1.03567,1.37039,0.65147,0.72456,0.64719,0.55659,0.66083,0.91757,1.27838,0.0003466,0.0003466,0.0003466
35,1018.77,0.84144,1.02231,1.37298,0.66982,0.71781,0.65103,0.55741,0.62367,0.91677,1.24679,0.0003268,0.0003268,0.0003268
36,1062.59,0.80628,0.97949,1.32587,0.66477,0.84671,0.78531,0.67413,0.60856,0.93242,1.24381,0.000307,0.000307,0.000307
37,1111.98,0.82251,1.00729,1.33007,0.65035,0.56286,0.5376,0.46253,0.60532,0.9494,1.248,0.0002872,0.0002872,0.0002872
38,1146.99,0.77944,0.96931,1.31138,0.70625,0.86593,0.8108,0.68913,0.63309,0.94094,1.24247,0.0002674,0.0002674,0.0002674
39,1193.55,0.78494,0.97409,1.31557,0.69669,0.82416,0.80071,0.67847,0.60655,0.91268,1.21602,0.0002476,0.0002476,0.0002476
40,1234.32,0.79524,0.98237,1.31752,0.71722,0.81019,0.81089,0.71514,0.57194,0.92695,1.20196,0.0002278,0.0002278,0.0002278
41,1283,0.71359,1.07326,1.24133,0.71197,0.82565,0.80959,0.70142,0.63233,0.98958,1.2212,0.000208,0.000208,0.000208
42,1330.81,0.675,1.02296,1.2191,0.73915,0.80403,0.80791,0.68601,0.62834,1.01724,1.20758,0.0001882,0.0001882,0.0001882
43,1367.6,0.64718,0.98746,1.18822,0.72935,0.82277,0.80101,0.69412,0.58989,0.9279,1.182,0.0001684,0.0001684,0.0001684
44,1409.03,0.62106,0.97523,1.19126,0.72187,0.81941,0.76236,0.67132,0.5557,0.8846,1.14795,0.0001486,0.0001486,0.0001486
45,1448.86,0.60297,0.94935,1.1819,0.71968,0.55756,0.50977,0.4423,0.55789,0.8737,1.12945,0.0001288,0.0001288,0.0001288
46,1487.81,0.57452,0.91307,1.17136,0.71669,0.54032,0.50484,0.44402,0.54615,0.87579,1.12584,0.000109,0.000109,0.000109
47,1521.64,0.57543,0.92269,1.18465,0.71325,0.87945,0.80772,0.71463,0.54455,0.86137,1.12528,8.92e-05,8.92e-05,8.92e-05
48,1559.29,0.56428,0.90525,1.14489,0.71759,0.87971,0.81482,0.71415,0.5311,0.83915,1.12032,6.94e-05,6.94e-05,6.94e-05
49,1598.47,0.57982,0.89656,1.13735,0.73304,0.87342,0.81827,0.72403,0.52664,0.8381,1.11949,4.96e-05,4.96e-05,4.96e-05
50,1631.49,0.54737,0.89259,1.15975,0.73424,0.86629,0.81832,0.72043,0.5235,0.84265,1.12033,2.98e-05,2.98e-05,2.98e-05
