epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6592,0.88264,0.5433,1.1024,0.89457,0.95391,0.9636,0.80908,0.69839,0.48989,1.0433,0.00023,0.00023,0.00023
2,45.5108,0.89273,0.55134,1.12404,0.88788,0.96154,0.96239,0.78365,0.76114,0.52482,1.0773,0.00045449,0.00045449,0.00045449
3,64.9933,0.83357,0.52382,1.0937,0.87826,0.96401,0.96318,0.8214,0.65317,0.49652,1.02168,0.00066314,0.00066314,0.00066314
4,88.6417,0.80191,0.52596,1.06639,0.88484,0.95727,0.95701,0.80775,0.66995,0.52577,1.04124,0.00085595,0.00085595,0.00085595
5,113.071,0.81,0.51582,1.07273,0.89246,0.94543,0.95427,0.78664,0.7637,0.51977,1.04858,0.000868,0.000868,0.000868
6,136.989,0.80669,0.53177,1.06895,0.90773,0.93343,0.96306,0.81385,0.67762,0.48537,1.02676,0.000835,0.000835,0.000835
7,158.779,0.74907,0.50445,1.05786,0.87134,0.97514,0.96304,0.82457,0.6525,0.49457,1.01939,0.000802,0.000802,0.000802
8,183.111,0.75452,0.48544,1.0408,0.87474,0.97376,0.96579,0.81661,0.65795,0.48537,1.01823,0.000769,0.000769,0.000769
9,206.943,0.72517,0.49535,1.03833,0.86909,0.97804,0.96563,0.82541,0.64335,0.47749,1.01371,0.000736,0.000736,0.000736
10,231.741,0.71762,0.48171,1.03972,0.89395,0.96264,0.96724,0.82535,0.62999,0.46706,1.01218,0.000703,0.000703,0.000703
11,260.587,0.74915,0.48546,1.0414,0.89939,0.95812,0.97024,0.83798,0.62897,0.47296,1.00968,0.00067,0.00067,0.00067
12,290.741,0.73959,0.4812,1.03897,0.90199,0.94566,0.96705,0.83043,0.6326,0.47028,1.00417,0.000637,0.000637,0.000637
13,319.933,0.7398,0.49018,1.04376,0.89365,0.96314,0.96339,0.82324,0.63496,0.47192,1.00242,0.000604,0.000604,0.000604
14,348.87,0.7333,0.48122,1.04669,0.8958,0.96258,0.9589,0.82226,0.61995,0.47719,1.0036,0.000571,0.000571,0.000571
15,377.919,0.69189,0.49413,1.02876,0.89574,0.96328,0.95687,0.82645,0.6154,0.47582,0.99553,0.000538,0.000538,0.000538
16,410.478,0.6899,0.48468,1.02635,0.90202,0.96082,0.9651,0.83251,0.59668,0.45433,0.99802,0.000505,0.000505,0.000505
17,443.64,0.72585,0.46923,1.06107,0.90383,0.96205,0.96634,0.83348,0.61129,0.45065,0.99631,0.000472,0.000472,0.000472
18,474.92,0.67944,0.45579,1.02876,0.90204,0.95801,0.96601,0.83956,0.60684,0.45108,0.99327,0.000439,0.000439,0.000439
19,510.429,0.7045,0.46571,1.04285,0.87626,0.97925,0.96495,0.83313,0.59921,0.44368,0.99578,0.000406,0.000406,0.000406
20,541.651,0.69925,0.4649,1.04817,0.87309,0.97677,0.96615,0.83248,0.60687,0.44842,0.99471,0.000373,0.000373,0.000373
21,593.243,0.6453,0.46942,1.01685,0.87868,0.97691,0.96341,0.83367,0.60668,0.46214,0.99466,0.00034,0.00034,0.00034
22,643.603,0.65335,0.44784,1.02707,0.88049,0.96151,0.94324,0.80281,0.61681,0.46442,1.00063,0.000307,0.000307,0.000307
23,698.313,0.61829,0.43318,0.9876,0.87048,0.95678,0.94289,0.80624,0.60797,0.47168,0.99378,0.000274,0.000274,0.000274
24,734.685,0.62006,0.42302,0.99944,0.87728,0.95705,0.95912,0.82042,0.61866,0.4722,1.00103,0.000241,0.000241,0.000241
25,770.624,0.60398,0.41822,0.99603,0.86846,0.97822,0.95989,0.82116,0.61856,0.45733,1.00028,0.000208,0.000208,0.000208
26,803.281,0.60998,0.41829,0.99893,0.87247,0.97596,0.96218,0.82976,0.60016,0.4479,0.98774,0.000175,0.000175,0.000175
27,829.424,0.58715,0.39734,0.99876,0.87368,0.97813,0.96288,0.82982,0.59128,0.44725,0.98796,0.000142,0.000142,0.000142
28,860.669,0.60045,0.41423,1.01563,0.8732,0.97927,0.96185,0.83161,0.5889,0.44692,0.98929,0.000109,0.000109,0.000109
29,891.125,0.58218,0.40356,0.99248,0.90756,0.93563,0.96197,0.83552,0.58176,0.45035,0.98805,7.6e-05,7.6e-05,7.6e-05
30,924.834,0.56667,0.40423,0.97628,0.87235,0.97799,0.96242,0.83509,0.58582,0.45074,0.98999,4.3e-05,4.3e-05,4.3e-05
